timestamp,sample_index,CH1,CH2,CH3,CH4,trigger
2025-10-20T13:46:31.673408,222,6003,-8761,1133,6108,0
2025-10-20T13:46:31.673410,223,8301,-12277,1142,8525,0
2025-10-20T13:46:31.673413,224,2818,-4069,528,2864,0
2025-10-20T13:46:31.764582,225,6318,-9309,1149,6429,0
2025-10-20T13:46:31.764593,226,8391,-12877,1151,8621,0
2025-10-20T13:46:31.764597,227,2955,-4345,555,3005,0
2025-10-20T13:46:31.764600,228,56,-233,24,55,0
2025-10-20T13:46:31.764603,229,1177,-2317,515,1185,0
2025-10-20T13:46:31.764606,230,6161,-9098,1142,6269,0
2025-10-20T13:46:31.764609,231,8318,-12604,1149,8543,0
2025-10-20T13:46:31.764611,232,2809,-4075,527,2856,0
2025-10-20T13:46:31.764615,233,43,-193,18,42,0
2025-10-20T13:46:31.764618,234,1197,-2300,504,1205,0
2025-10-20T13:46:31.764620,235,6289,-9606,1141,6402,0
2025-10-20T13:46:31.764623,236,8474,-13828,1150,8711,0
2025-10-20T13:46:31.764626,237,3057,-4584,544,3114,0
2025-10-20T13:46:31.764628,238,44,-153,12,43,0
2025-10-20T13:46:31.764631,239,981,-1902,401,988,0
2025-10-20T13:46:31.764633,240,6251,-10173,1123,6372,0
2025-10-20T13:46:31.764636,241,8652,-15791,1156,8901,0
2025-10-20T13:46:31.764639,242,3436,-5486,581,3507,0
2025-10-20T13:46:31.764641,243,67,-183,17,66,0
2025-10-20T13:46:31.764644,244,1088,-2003,415,1096,0
2025-10-20T13:46:31.764646,245,6523,-10864,1136,6652,0
2025-10-20T13:46:31.764649,246,8716,-16541,1163,8968,0
2025-10-20T13:46:31.764652,247,3537,-5735,599,3612,0
2025-10-20T13:46:31.764654,248,91,-250,32,90,0
2025-10-20T13:46:31.764657,249,1508,-2606,546,1517,0
2025-10-20T13:46:31.884620,250,3164,-4771,583,3223,0
2025-10-20T13:46:31.884634,251,70,-250,32,70,0
2025-10-20T13:46:31.884638,252,1295,-2458,569,1303,0
2025-10-20T13:46:31.884641,253,6457,-9791,1187,6578,0
2025-10-20T13:46:31.884644,254,8385,-13422,1180,8623,0
2025-10-20T13:46:31.884646,255,2820,-4177,529,2871,0
2025-10-20T13:46:31.884649,256,38,-168,16,38,0
2025-10-20T13:46:31.884652,257,1275,-2336,510,1283,0
2025-10-20T13:46:31.884654,258,6556,-10006,1176,6679,0
2025-10-20T13:46:31.884657,259,8374,-13495,1183,8612,0
2025-10-20T13:46:31.884659,260,2781,-4121,530,2831,0
2025-10-20T13:46:31.884662,261,39,-167,17,38,0
2025-10-20T13:46:31.884664,262,1360,-2427,526,1368,0
2025-10-20T13:46:31.884667,263,6708,-10472,1196,6838,0
2025-10-20T13:46:31.884669,264,8471,-14332,1195,8718,0
2025-10-20T13:46:31.884673,265,2944,-4462,551,3001,0
2025-10-20T13:46:31.884676,266,45,-176,19,45,0
2025-10-20T13:46:31.884678,267,1341,-2397,526,1349,0
2025-10-20T13:46:31.884680,268,6675,-10488,1203,6804,0
2025-10-20T13:46:31.884683,269,8519,-14614,1200,8768,0
2025-10-20T13:46:31.884685,270,3059,-4668,567,3118,0
2025-10-20T13:46:31.884688,271,52,-190,21,52,0
2025-10-20T13:46:31.884690,272,1326,-2399,529,1335,0
2025-10-20T13:46:31.884693,273,6665,-10566,1208,6795,0
2025-10-20T13:46:31.884695,274,8527,-14728,1208,8777,0
2025-10-20T13:46:31.977897,275,1481,-2630,583,1490,0
2025-10-20T13:46:31.977909,276,6801,-10674,1225,6935,0
2025-10-20T13:46:31.977912,277,8445,-14394,1215,8689,0
2025-10-20T13:46:31.977915,278,2890,-4383,557,2943,0
2025-10-20T13:46:31.977918,279,46,-183,20,45,0
2025-10-20T13:46:31.977921,280,1363,-2446,544,1372,0
2025-10-20T13:46:31.977924,281,6651,-10290,1223,6780,0
2025-10-20T13:46:31.977926,282,8455,-14095,1223,8704,0
2025-10-20T13:46:31.977929,283,2929,-4415,558,2985,0
2025-10-20T13:46:31.977932,284,52,-222,26,52,0
2025-10-20T13:46:31.977935,285,1407,-2582,586,1416,0
2025-10-20T13:46:31.977938,286,6570,-9975,1237,6696,0
2025-10-20T13:46:31.977940,287,8374,-13434,1232,8615,0
2025-10-20T13:46:31.977943,288,2815,-4164,557,2866,0
2025-10-20T13:46:31.977946,289,54,-254,30,54,0
2025-10-20T13:46:31.977948,290,1447,-2686,618,1455,0
2025-10-20T13:46:31.977951,291,6442,-9281,1252,6558,0
2025-10-20T13:46:31.977953,292,8219,-12090,1250,8445,0
2025-10-20T13:46:31.977956,293,2623,-3783,554,2664,0
2025-10-20T13:46:31.977959,294,37,-230,21,37,0
2025-10-20T13:46:31.977961,295,1168,-2376,559,1177,0
2025-10-20T13:46:31.977964,296,6121,-8818,1239,6233,0
2025-10-20T13:46:31.977966,297,8089,-11584,1248,8301,0
2025-10-20T13:46:31.977969,298,2458,-3514,533,2492,0
2025-10-20T13:46:31.977972,299,25,-181,13,24,0
2025-10-20T13:46:32.094632,300,8108,-11657,1259,8325,0
2025-10-20T13:46:32.094646,301,2530,-3661,559,2567,0
2025-10-20T13:46:32.094650,302,28,-178,12,27,0
2025-10-20T13:46:32.094653,303,890,-1972,466,898,0
2025-10-20T13:46:32.094656,304,5701,-8076,1225,5803,0
2025-10-20T13:46:32.094660,305,7856,-10704,1260,8035,0
2025-10-20T13:46:32.094663,306,2273,-3252,532,2295,0
2025-10-20T13:46:32.094666,307,19,-171,9,18,0
2025-10-20T13:46:32.094669,308,832,-1942,460,839,0
2025-10-20T13:46:32.094672,309,5422,-7541,1229,5505,0
2025-10-20T13:46:32.094675,310,7732,-10191,1266,7891,0
2025-10-20T13:46:32.094765,311,2200,-3140,522,2217,0
2025-10-20T13:46:32.094770,312,15,-160,6,14,0
2025-10-20T13:46:32.094773,313,754,-1839,425,761,0
2025-10-20T13:46:32.094776,314,5293,-7327,1222,5370,0
2025-10-20T13:46:32.094779,315,7670,-9957,1282,7814,0
2025-10-20T13:46:32.094782,316,2222,-3191,548,2236,0
2025-10-20T13:46:32.094785,317,19,-185,8,18,0
2025-10-20T13:46:32.094787,318,720,-1846,430,727,0
2025-10-20T13:46:32.094790,319,5048,-6951,1224,5105,0
2025-10-20T13:46:32.094793,320,7410,-9424,1287,7518,0
2025-10-20T13:46:32.094796,321,2087,-3038,543,2097,0
2025-10-20T13:46:32.094799,322,15,-189,6,14,0
2025-10-20T13:46:32.094802,323,612,-1743,385,619,0
2025-10-20T13:46:32.094805,324,4710,-6533,1205,4752,0
2025-10-20T13:46:32.184732,325,18,-202,10,17,0
2025-10-20T13:46:32.184744,326,675,-1850,442,683,0
2025-10-20T13:46:32.184748,327,4779,-6583,1239,4802,0
2025-10-20T13:46:32.184751,328,7076,-8873,1304,7110,0
2025-10-20T13:46:32.184754,329,1996,-2960,555,2002,0
2025-10-20T13:46:32.184757,330,14,-188,5,14,0
2025-10-20T13:46:32.184759,331,518,-1631,343,525,0
2025-10-20T13:46:32.184762,332,4380,-6168,1194,4394,0
2025-10-20T13:46:32.184765,333,6983,-8766,1316,6997,0
2025-10-20T13:46:32.184767,334,2062,-3066,579,2068,0
2025-10-20T13:46:32.184770,335,16,-186,5,15,0
2025-10-20T13:46:32.184772,336,396,-1437,264,401,0
2025-10-20T13:46:32.184775,337,4046,-5821,1157,4059,0
2025-10-20T13:46:32.184778,338,6623,-8403,1319,6637,0
2025-10-20T13:46:32.184780,339,1951,-2933,566,1956,0
2025-10-20T13:46:32.184783,340,14,-190,5,13,0
2025-10-20T13:46:32.184786,341,421,-1512,296,427,0
2025-10-20T13:46:32.184788,342,3964,-5747,1179,3977,0
2025-10-20T13:46:32.184791,343,6505,-8287,1324,6518,0
2025-10-20T13:46:32.184794,344,1919,-2918,568,1925,0
2025-10-20T13:46:32.184797,345,12,-178,4,11,0
2025-10-20T13:46:32.184799,346,362,-1379,245,367,0
2025-10-20T13:46:32.184802,347,3922,-5692,1153,3935,0
2025-10-20T13:46:32.184804,348,6545,-8327,1332,6559,0
2025-10-20T13:46:32.184807,349,1970,-2969,575,1976,0
2025-10-20T13:46:32.304707,350,4069,-5842,1164,4082,0
2025-10-20T13:46:32.304721,351,6810,-8602,1349,6824,0
2025-10-20T13:46:32.304725,352,2182,-3266,632,2188,0
2025-10-20T13:46:32.304728,353,27,-217,12,26,0
2025-10-20T13:46:32.304731,354,372,-1435,271,378,0
2025-10-20T13:46:32.304734,355,3769,-5548,1177,3782,0
2025-10-20T13:46:32.304736,356,6349,-8135,1348,6363,0
2025-10-20T13:46:32.304739,357,1969,-3002,602,1975,0
2025-10-20T13:46:32.304742,358,18,-204,7,17,0
2025-10-20T13:46:32.304745,359,366,-1409,257,371,0
2025-10-20T13:46:32.304747,360,3834,-5606,1171,3847,0
2025-10-20T13:46:32.304750,361,6407,-8195,1355,6421,0
2025-10-20T13:46:32.304753,362,2001,-3047,612,2007,0
2025-10-20T13:46:32.304756,363,20,-200,8,19,0
2025-10-20T13:46:32.304758,364,354,-1389,245,359,0
2025-10-20T13:46:32.304761,365,3849,-5622,1169,3862,0
2025-10-20T13:46:32.304764,366,6461,-8249,1362,6474,0
2025-10-20T13:46:32.304767,367,2037,-3090,619,2043,0
2025-10-20T13:46:32.304769,368,22,-222,10,21,0
2025-10-20T13:46:32.304772,369,424,-1534,300,430,0
2025-10-20T13:46:32.304775,370,3973,-5757,1208,3986,0
2025-10-20T13:46:32.304777,371,6665,-8453,1367,6679,0
2025-10-20T13:46:32.304780,372,2111,-3156,619,2118,0
2025-10-20T13:46:32.304783,373,21,-239,9,21,0
2025-10-20T13:46:32.304786,374,439,-1590,305,446,0
2025-10-20T13:46:32.427175,375,2319,-3446,692,2326,0
2025-10-20T13:46:32.427188,376,47,-380,27,47,0
2025-10-20T13:46:32.427192,377,532,-1869,397,541,0
2025-10-20T13:46:32.427195,378,4094,-5896,1248,4108,0
2025-10-20T13:46:32.427198,379,6767,-8558,1384,6781,0
2025-10-20T13:46:32.427200,380,2200,-3270,652,2207,0
2025-10-20T13:46:32.427203,381,29,-272,14,28,0
2025-10-20T13:46:32.427206,382,486,-1687,340,493,0
2025-10-20T13:46:32.427209,383,4145,-5937,1240,4159,0
2025-10-20T13:46:32.427211,384,6798,-8587,1385,6812,0
2025-10-20T13:46:32.427214,385,2163,-3217,638,2169,0
2025-10-20T13:46:32.427217,386,25,-243,11,24,0
2025-10-20T13:46:32.427219,387,480,-1630,313,486,0
2025-10-20T13:46:32.427223,388,4310,-6097,1233,4323,0
2025-10-20T13:46:32.427225,389,6952,-8744,1395,6966,0
2025-10-20T13:46:32.427228,390,2218,-3289,657,2225,0
2025-10-20T13:46:32.427230,391,29,-261,14,28,0
2025-10-20T13:46:32.427233,392,506,-1683,332,512,0
2025-10-20T13:46:32.427236,393,4439,-6230,1246,4453,0
2025-10-20T13:46:32.427238,394,7181,-8975,1402,7197,0
2025-10-20T13:46:32.427241,395,2305,-3377,666,2311,0
2025-10-20T13:46:32.427243,396,31,-294,15,30,0
2025-10-20T13:46:32.427246,397,553,-1787,354,560,0
2025-10-20T13:46:32.427248,398,4560,-6355,1260,4576,0
2025-10-20T13:46:32.427251,399,7257,-9054,1409,7277,0
2025-10-20T13:46:32.522326,400,790,-2124,548,799,0
2025-10-20T13:46:32.522343,401,4907,-6721,1349,4930,0
2025-10-20T13:46:32.522346,402,7475,-9300,1416,7522,0
2025-10-20T13:46:32.522349,403,2376,-3456,676,2385,0
2025-10-20T13:46:32.522353,404,37,-337,21,37,0
2025-10-20T13:46:32.522355,405,683,-2005,450,691,0
2025-10-20T13:46:32.522358,406,4728,-6535,1316,4748,0
